자치구,월_평균_소득_금액,소통 빈도,네트워크 크기,휴일 총 이동 횟수 평균,휴일 총 이동 거리 합계,통합 활동성 지표,평당_임대료,사업체수,종사자수,산업집중도
성동구,3734499,38.4239705882353,10.333319327731093,8.398865546218488,426.85613445378146,121.00307247899158,65837.5,41306,205900,0.12970655204836104
중랑구,2598785,38.69294642857143,9.832455357142857,8.141696428571429,397.0365178571428,113.42590401785714,66781.55555555556,40320,114733,0.12668860918209876
양천구,3796034,39.51680555555556,10.340277777777779,8.334444444444445,414.5321428571429,118.18091765873017,53442.93650793651,37774,133815,0.12659341314333813
도봉구,2785111,38.57311224489796,9.693698979591836,8.211071428571428,384.5980102040817,110.26897321428572,59606.642857142855,25193,77618,0.1361911542042024
은평구,2912739,38.02178571428571,9.753147321428571,8.358392857142857,386.65808035714286,110.6978515625,64035.07142857143,36430,107697,0.130004791488857
구로구,2994059,38.14007142857143,9.802666666666667,8.00495238095238,408.9039523809524,116.21291071428571,62742.11111111111,52988,242640,0.14908229163656522
강남구,4943841,41.6798051948052,11.062889610389611,9.074545454545454,438.12360389610393,124.98521103896104,90412.43083900226,107804,802908,0.11587482262030757
동대문구,3030256,38.199566326530615,10.07548469387755,8.074132653061225,406.8394897959183,115.79716836734693,58374.30158730159,42491,145879,0.16216853857237715
서대문구,3417706,37.39413265306122,10.064336734693878,8.366938775510205,413.86683673469383,117.42306122448979,83396.58134920636,28427,119608,0.12086191858425975
마포구,3832436,37.41310267857143,10.023013392857141,8.125223214285715,416.42075892857144,117.99552455357143,75973.80555555556,55516,274678,0.11484269976965439
영등포구,3604887,38.17474206349206,10.095734126984127,8.02547619047619,422.351746031746,119.6619246031746,52162.730158730155,75470,433237,0.1112285888165623
관악구,2771927,38.09636054421769,9.436292517006802,7.864965986394559,404.0128571428571,114.85261904761904,94177.57936507936,36814,126395,0.11955747175378106
송파구,3995905,39.381931216931214,10.497182539682541,8.724444444444444,425.9912433862434,121.1487003968254,63185.42857142857,74738,409305,0.13849603220337028
종로구,3725859,38.052920168067224,10.19611344537815,8.220378151260505,406.0883613445378,115.63944327731093,90819.35714285714,47595,278403,0.19069447461450226
성북구,3281773,38.34789285714285,10.098107142857142,8.212785714285713,401.07582142857143,114.43365178571429,66167.58730158731,35162,125727,0.12805576565061896
강북구,2547460,38.24442307692308,9.475302197802197,8.002912087912089,372.5747802197802,107.0743543956044,60838.98412698413,26114,79859,0.12822116064715952
노원구,3195375,38.768327067669176,9.94686090225564,8.285714285714286,399.4897368421053,114.1226597744361,49949.22222222222,38018,129198,0.1350227860673665
금천구,2632285,38.9835,9.763785714285714,8.090928571428572,407.94628571428575,116.19612500000001,59301.01587301587,48438,256316,0.1331655307103377
용산구,3971498,39.83203125,10.62267857142857,8.827455357142856,438.5279464285714,124.45252790178571,70757.56613756614,28047,151851,0.15924110541701597
동작구,3454170,37.99285714285715,10.053761904761904,8.188285714285714,421.66538095238093,119.47507142857143,77255.13492063493,27120,107069,0.12652867513335248
서초구,4912401,40.86160714285714,10.934007936507935,9.15515873015873,445.7650793650794,126.6789632936508,79964.98412698413,69975,492367,0.12013868965859675
중구,3513603,37.77647619047619,10.321142857142856,8.19804761904762,424.50719047619043,120.20071428571427,107890.23174603174,68143,386148,0.253155534039034
광진구,3192971,38.18264285714285,9.968619047619047,8.235,408.86090476190475,116.31179166666666,65737.71957671958,33325,129917,0.12758203354289438
강서구,3160623,38.84760714285714,9.976357142857143,8.364392857142859,429.80253571428574,121.74772321428571,51202.46031746032,59660,299324,0.1303688096666674
강동구,3292857,39.15484126984127,10.396805555555556,8.63702380952381,420.9733333333333,119.79050099206349,62032.76190476191,43157,164833,0.13705906067817022
