시도,광역상권,하위상권,평당_임대료,연도,기간,층
서울,,,50909,2022,1분기,지하1층
서울,도심,,56859,2022,1분기,지하1층
서울,도심,광화문,91570,2022,1분기,지하1층
서울,도심,남대문,64132,2022,1분기,지하1층
서울,도심,동대문,45619,2022,1분기,지하1층
서울,도심,명동,96198,2022,1분기,지하1층
서울,도심,시청,66776,2022,1분기,지하1층
서울,도심,을지로,35371,2022,1분기,지하1층
서울,도심,종로,52561,2022,1분기,지하1층
서울,도심,충무로,28760,2022,1분기,지하1층
서울,강남,,63471,2022,1분기,지하1층
서울,강남,강남대로,116363,2022,1분기,지하1층
서울,강남,교대역,41322,2022,1분기,지하1층
서울,강남,남부터미널,35702,2022,1분기,지하1층
서울,강남,논현역,49917,2022,1분기,지하1층
서울,강남,도산대로,74380,2022,1분기,지하1층
서울,강남,방배역/내방역,45289,2022,1분기,지하1층
서울,강남,서래마을,60826,2022,1분기,지하1층
서울,강남,신사역,80991,2022,1분기,지하1층
서울,강남,압구정,50578,2022,1분기,지하1층
서울,강남,양재말죽거리,34049,2022,1분기,지하1층
서울,강남,양재역,40330,2022,1분기,지하1층
서울,강남,청담,56528,2022,1분기,지하1층
서울,강남,테헤란로,85289,2022,1분기,지하1층
서울,강남,학동/강남구청역,61487,2022,1분기,지하1층
서울,영등포신촌,,54876,2022,1분기,지하1층
서울,영등포신촌,공덕역,43966,2022,1분기,지하1층
서울,영등포신촌,당산역,25123,2022,1분기,지하1층
서울,영등포신촌,동교/연남,80330,2022,1분기,지하1층
서울,영등포신촌,망원역,39338,2022,1분기,지하1층
서울,영등포신촌,신촌/이대,45289,2022,1분기,지하1층
서울,영등포신촌,영등포역,39669,2022,1분기,지하1층
서울,영등포신촌,홍대/합정,89256,2022,1분기,지하1층
서울,기타,,42644,2022,1분기,지하1층
서울,,가락시장,40330,2022,1분기,지하1층
서울,,건대입구,57851,2022,1분기,지하1층
서울,,경희대,40330,2022,1분기,지하1층
서울,,구로디지털단지역,35702,2022,1분기,지하1층
서울,,구의역,30743,2022,1분기,지하1층
서울,,군자,36033,2022,1분기,지하1층
서울,,노량진,45619,2022,1분기,지하1층
서울,,독산/시흥,38677,2022,1분기,지하1층
서울,,뚝섬,34380,2022,1분기,지하1층
서울,,목동,34710,2022,1분기,지하1층
서울,,미아사거리,33057,2022,1분기,지하1층
서울,,불광역,42644,2022,1분기,지하1층
서울,,사당,52231,2022,1분기,지하1층
서울,,상계역,27438,2022,1분기,지하1층
서울,,상봉역,39999,2022,1분기,지하1층
서울,,서울대입구역,65785,2022,1분기,지하1층
서울,,성신여대,50247,2022,1분기,지하1층
서울,,수유,43966,2022,1분기,지하1층
서울,,숙명여대,36694,2022,1분기,지하1층
서울,,신림역,54545,2022,1분기,지하1층
서울,,연신내,52561,2022,1분기,지하1층
서울,,오류동역,38016,2022,1분기,지하1층
서울,,왕십리,47933,2022,1분기,지하1층
서울,,용산역,40661,2022,1분기,지하1층
서울,,이태원,58842,2022,1분기,지하1층
서울,,잠실/송파,39669,2022,1분기,지하1층
서울,,잠실새내역,35702,2022,1분기,지하1층
서울,,장안동,37355,2022,1분기,지하1층
서울,,천호,36694,2022,1분기,지하1층
서울,,청량리,25454,2022,1분기,지하1층
서울,,혜화동,56528,2022,1분기,지하1층
서울,,화곡,33388,2022,1분기,지하1층
서울,,,169917,2022,1분기,1층
서울,도심,,270082,2022,1분기,1층
서울,도심,광화문,265785,2022,1분기,1층
서울,도심,남대문,243966,2022,1분기,1층
서울,도심,동대문,147438,2022,1분기,1층
서울,도심,명동,601322,2022,1분기,1층
서울,도심,시청,210247,2022,1분기,1층
서울,도심,을지로,144132,2022,1분기,1층
서울,도심,종로,260165,2022,1분기,1층
서울,도심,충무로,158347,2022,1분기,1층
서울,강남,,188099,2022,1분기,1층
서울,강남,강남대로,349752,2022,1분기,1층
서울,강남,교대역,102148,2022,1분기,1층
서울,강남,남부터미널,101818,2022,1분기,1층
서울,강남,논현역,175537,2022,1분기,1층
서울,강남,도산대로,152396,2022,1분기,1층
서울,강남,방배역/내방역,130578,2022,1분기,1층
서울,강남,서래마을,146776,2022,1분기,1층
서울,강남,신사역,277685,2022,1분기,1층
서울,강남,압구정,156694,2022,1분기,1층
서울,강남,양재말죽거리,126611,2022,1분기,1층
서울,강남,양재역,130247,2022,1분기,1층
서울,강남,청담,195041,2022,1분기,1층
서울,강남,테헤란로,154380,2022,1분기,1층
서울,강남,학동/강남구청역,163305,2022,1분기,1층
서울,영등포신촌,,153057,2022,1분기,1층
서울,영등포신촌,공덕역,128595,2022,1분기,1층
서울,영등포신촌,당산역,97851,2022,1분기,1층
서울,영등포신촌,동교/연남,140165,2022,1분기,1층
서울,영등포신촌,망원역,107438,2022,1분기,1층
서울,영등포신촌,신촌/이대,189752,2022,1분기,1층
서울,영등포신촌,영등포역,133553,2022,1분기,1층
서울,영등포신촌,홍대/합정,221487,2022,1분기,1층
서울,기타,,152066,2022,1분기,1층
서울,,가락시장,128925,2022,1분기,1층
서울,,건대입구,228099,2022,1분기,1층
서울,,경희대,161652,2022,1분기,1층
서울,,구로디지털단지역,142809,2022,1분기,1층
서울,,구의역,126942,2022,1분기,1층
서울,,군자,118016,2022,1분기,1층
서울,,노량진,157355,2022,1분기,1층
서울,,독산/시흥,110082,2022,1분기,1층
서울,,뚝섬,133884,2022,1분기,1층
서울,,목동,110743,2022,1분기,1층
서울,,미아사거리,126280,2022,1분기,1층
서울,,불광역,130578,2022,1분기,1층
서울,,사당,198016,2022,1분기,1층
서울,,상계역,98181,2022,1분기,1층
서울,,상봉역,128264,2022,1분기,1층
서울,,서울대입구역,265123,2022,1분기,1층
서울,,성신여대,156033,2022,1분기,1층
서울,,수유,164297,2022,1분기,1층
서울,,숙명여대,127272,2022,1분기,1층
서울,,신림역,213884,2022,1분기,1층
서울,,연신내,154710,2022,1분기,1층
서울,,오류동역,163636,2022,1분기,1층
서울,,왕십리,138181,2022,1분기,1층
서울,,용산역,85619,2022,1분기,1층
서울,,이태원,193057,2022,1분기,1층
서울,,잠실/송파,145454,2022,1분기,1층
서울,,잠실새내역,120330,2022,1분기,1층
서울,,장안동,119008,2022,1분기,1층
서울,,천호,155041,2022,1분기,1층
서울,,청량리,151074,2022,1분기,1층
서울,,혜화동,205619,2022,1분기,1층
서울,,화곡,114710,2022,1분기,1층
서울,,,77685,2022,1분기,2층
서울,도심,,112396,2022,1분기,2층
