시도 광역상권 하위상권 구분,2022_1분기_지하1층,2022_1분기_1층,2022_1분기_2층,2022_1분기_3층,2022_1분기_4층,2022_1분기_5층,2022_1분기_6-10층,2022_2분기_지하1층,2022_2분기_1층,2022_2분기_2층,2022_2분기_3층,2022_2분기_4층,2022_2분기_5층,2022_2분기_6-10층,2022_3분기_지하1층,2022_3분기_1층,2022_3분기_2층,2022_3분기_3층,2022_3분기_4층,2022_3분기_5층,2022_3분기_6-10층,2022_4분기_지하1층,2022_4분기_1층,2022_4분기_2층,2022_4분기_3층,2022_4분기_4층,2022_4분기_5층,2022_4분기_6-10층,2023_1분기_지하1층,2023_1분기_1층,2023_1분기_2층,2023_1분기_3층,2023_1분기_4층,2023_1분기_5층,2023_1분기_6-10층,2023_2분기_지하1층,2023_2분기_1층,2023_2분기_2층,2023_2분기_3층,2023_2분기_4층,2023_2분기_5층,2023_2분기_6-10층,2023_3분기_지하1층,2023_3분기_1층,2023_3분기_2층,2023_3분기_3층,2023_3분기_4층,2023_3분기_5층,2023_3분기_6-10층,2023_4분기_지하1층,2023_4분기_1층,2023_4분기_2층,2023_4분기_3층,2023_4분기_4층,2023_4분기_5층,2023_4분기_6-10층,2024_1분기_지하1층,2024_1분기_1층,2024_1분기_2층,2024_1분기_3층,2024_1분기_4층,2024_1분기_5층,2024_1분기_6-10층
서울  임대료,15.4,51.4,23.5,18.9,17.5,17.6,16.9,15.5,51.5,23.6,18.9,17.5,17.5,16.9,15.5,51.7,23.7,18.9,17.5,17.5,17.1,15.5,51.8,23.7,19,17.5,17.5,17.2,15.6,52,23.8,18.9,17.6,17.6,17.2,15.6,52.1,23.8,19,17.7,17.7,17.2,15.6,52.3,23.8,19,17.7,17.7,17.3,15.4,52.5,23.9,19,17.7,17.8,17.4,15.5,52.7,23.9,19,17.7,17.8,17.5
서울  효용비율,30,100,45.7,36.7,34,34.1,32.9,30.1,100,45.8,36.7,34,34,32.9,29.9,100,45.8,36.6,33.8,33.8,33.1,29.9,100,45.8,36.6,33.9,33.8,33.1,29.9,100,45.7,36.4,33.9,33.8,33.1,29.9,100,45.7,36.4,33.9,33.9,33.1,29.8,100,45.6,36.3,33.8,33.8,33.1,29.4,100,45.5,36.1,33.8,33.8,33.2,29.4,100,45.4,36.1,33.6,33.8,33.2
서울 도심 임대료,17.2,81.7,34,25.7,23.3,22.4,21.9,17.3,81.8,33.8,25.5,23.3,22.4,22,17.3,81.8,33.9,25.5,23.4,22.5,22,17.3,82.6,34,25.8,23.8,22.5,22,17.3,83.8,34.3,25.7,24,22.4,22,17.5,83.3,34.1,25.8,24.1,22.7,22.1,17.5,83.3,34.1,25.7,24.1,22.7,22.2,17.5,83.6,34.4,25.7,24.4,23,23.2,17.5,84.4,34.5,25.8,24.5,23,23.2
서울 도심 효용비율,21,100,41.6,31.4,28.5,27.4,26.9,21.1,100,41.4,31.2,28.5,27.4,26.9,21.1,100,41.4,31.2,28.7,27.5,26.9,21,100,41.1,31.2,28.8,27.3,26.7,20.6,100,40.9,30.7,28.6,26.8,26.3,21,100,41,31,28.9,27.2,26.6,21,100,41,30.9,29,27.2,26.6,20.9,100,41.1,30.8,29.2,27.5,27.7,20.7,100,40.9,30.6,29,27.3,27.5
서울 도심 광화문임대료,27.7,80.4,37.9,26.9,24.4,23,22.4,27.7,80.5,37.9,26.9,24.4,23,22.5,27.7,80.8,38.8,28.2,24.4,23.8,22.5,28.6,80.9,39.9,30.2,24.4,23.8,22.5,28.1,81,41.1,29.9,23.9,23.2,22.5,28.1,80.7,41.1,29.9,23.9,23.4,23.5,28.1,80.6,41.1,29.9,23.9,23.4,23.5,28.1,80.7,41.1,30.1,24.3,23.4,23.8,28.1,81.1,40.8,30.5,24.7,23.1,23.8
서울 도심 광화문효용비율,34.4,100,47.1,33.5,30.4,28.5,27.8,34.4,100,47,33.4,30.3,28.5,28,34.3,100,48,34.9,30.2,29.4,27.9,35.3,100,49.2,37.3,30.2,29.4,27.8,34.7,100,50.7,36.9,29.6,28.7,27.8,34.8,100,50.9,37,29.7,28.9,29.1,34.8,100,51,37,29.7,29,29.1,34.8,100,50.9,37.3,30,28.9,29.4,34.6,100,50.4,37.6,30.4,28.4,29.3
서울 도심 남대문임대료,19.4,73.8,25.8,20.1,18.4,15.4,16.7,19.4,74,25.8,20.1,18.4,15.4,16.7,19.4,74.2,25.9,20.1,18.4,15.4,16.7,19.4,74.5,25.9,20.1,18.4,15.4,16.7,19.4,74.7,25.9,20.2,18.4,15.4,16.7,19.6,68.6,24.6,19.9,18.2,15.4,16.7,19.6,68.7,24.6,19.9,18.2,15.3,16.9,19.6,69,24.6,19.9,18.2,15.3,16.9,19.6,70.8,24.8,20,18.2,15.3,16.9
서울 도심 남대문효용비율,26.3,100,35,27.2,24.9,20.9,22.6,26.2,100,34.9,27.1,24.9,20.8,22.5,26.1,100,34.8,27,24.8,20.7,22.4,26,100,34.7,27,24.7,20.7,22.4,25.9,100,34.7,27,24.7,20.6,22.3,28.6,100,35.8,29.1,26.6,22.5,24.3,28.5,100,35.7,29,26.5,22.3,24.6,28.4,100,35.6,28.9,26.4,22.2,24.5,27.7,100,35,28.3,25.8,21.7,23.9
서울 도심 동대문임대료,13.8,44.6,18.9,14.9,14,17,19.9,13.8,44.6,18.9,14.9,14,16.8,19.8,13.7,44.8,18.9,14.9,14,16.6,19.8,13.7,44.6,18.9,15,14.4,17.2,19.8,13.7,44.7,18.9,15,14.4,17.2,19.8,13.8,45.5,18.8,15,14.4,17.1,19.8,13.8,45.5,18.8,15,14.4,17.1,19.8,13.8,45.6,18.7,15,14.4,17.1,19.9,13.8,45.6,18.7,15,14.4,17.1,20
서울 도심 동대문효용비율,30.8,100,42.3,33.5,31.4,38,44.5,30.8,100,42.3,33.5,31.4,37.7,44.4,30.6,100,42.1,33.3,31.3,37.1,44.2,30.8,100,42.3,33.7,32.3,38.5,44.4,30.8,100,42.2,33.6,32.2,38.5,44.3,30.3,100,41.3,33,31.7,37.6,43.5,30.3,100,41.2,32.9,31.6,37.6,43.5,30.3,100,41.1,32.9,31.6,37.6,43.7,30.3,100,41.2,32.9,31.6,37.6,43.9
