BASE_YM,SIGNGU_NM,SIGNGU_CD,INCOME_TWO_TMW_INHBT_RATE,INCOME_THREE_TMW_INHBT_RATE,INCOME_FOUR_TMW_INHBT_RATE,INCOME_FIVE_TMW_INHBT_RATE,INCOME_SIX_TMW_INHBT_RATE,INCOME_SEVEN_TMW_INHBT_RATE,INCOME_SEVEN_TMW_ABOVE_INHBT_RATE
"202410","강원특별자치도 강릉시","51150","0.130","0.380","0.250","0.110","0.050","0.030","0.040"
"202410","강원특별자치도 고성군","51820","0.170","0.430","0.240","0.090","0.040","0.020","0.030"
"202410","강원특별자치도 동해시","51170","0.140","0.370","0.250","0.110","0.060","0.030","0.050"
"202410","강원특별자치도 삼척시","51230","0.150","0.390","0.240","0.100","0.050","0.030","0.040"
"202410","강원특별자치도 속초시","51210","0.130","0.380","0.270","0.110","0.050","0.030","0.040"
"202410","강원특별자치도 양구군","51800","0.120","0.390","0.260","0.100","0.050","0.030","0.040"
"202410","강원특별자치도 양양군","51830","0.130","0.420","0.260","0.100","0.050","0.020","0.030"
"202410","강원특별자치도 영월군","51750","0.150","0.410","0.250","0.100","0.050","0.030","0.030"
"202410","강원특별자치도 원주시","51130","0.120","0.360","0.270","0.120","0.060","0.030","0.050"
"202410","강원특별자치도 인제군","51810","0.110","0.390","0.280","0.110","0.050","0.030","0.040"
"202410","강원특별자치도 정선군","51770","0.130","0.410","0.240","0.100","0.050","0.020","0.040"
"202410","강원특별자치도 철원군","51780","0.140","0.390","0.260","0.100","0.050","0.030","0.040"
"202410","강원특별자치도 춘천시","51110","0.130","0.370","0.250","0.110","0.060","0.030","0.050"
"202410","강원특별자치도 태백시","51190","0.160","0.380","0.230","0.100","0.050","0.030","0.050"
"202410","강원특별자치도 평창군","51760","0.130","0.410","0.270","0.100","0.040","0.020","0.030"
"202410","강원특별자치도 홍천군","51720","0.120","0.410","0.270","0.100","0.050","0.020","0.030"
"202410","강원특별자치도 화천군","51790","0.130","0.410","0.270","0.100","0.050","0.020","0.030"
"202410","강원특별자치도 횡성군","51730","0.120","0.430","0.250","0.090","0.040","0.020","0.030"
"202410","경기도 가평군","41820","0.140","0.400","0.250","0.100","0.050","0.020","0.040"
"202410","경기도 고양시 덕양구","41281","0.100","0.330","0.260","0.130","0.070","0.040","0.070"
"202410","경기도 고양시 일산동구","41285","0.090","0.330","0.250","0.130","0.060","0.040","0.090"
"202410","경기도 고양시 일산서구","41287","0.100","0.320","0.260","0.130","0.070","0.040","0.090"
"202410","경기도 과천시","41290","0.070","0.260","0.220","0.130","0.080","0.050","0.170"
"202410","경기도 광명시","41210","0.120","0.330","0.250","0.120","0.070","0.040","0.080"
"202410","경기도 광주시","41610","0.090","0.360","0.280","0.130","0.060","0.030","0.050"
"202410","경기도 구리시","41310","0.100","0.340","0.270","0.130","0.060","0.030","0.060"
"202410","경기도 군포시","41410","0.110","0.340","0.270","0.130","0.060","0.030","0.060"
"202410","경기도 김포시","41570","0.090","0.330","0.270","0.130","0.070","0.040","0.070"
"202410","경기도 남양주시","41360","0.110","0.340","0.270","0.120","0.060","0.030","0.060"
"202410","경기도 동두천시","41250","0.150","0.420","0.250","0.100","0.040","0.020","0.020"
"202410","경기도 부천시 소사구","41194","0.110","0.370","0.260","0.120","0.060","0.030","0.050"
"202410","경기도 부천시 오정구","41196","0.120","0.410","0.270","0.110","0.050","0.020","0.020"
"202410","경기도 부천시 원미구","41192","0.110","0.360","0.260","0.120","0.060","0.030","0.060"
"202410","경기도 성남시 분당구","41135","0.070","0.260","0.220","0.140","0.080","0.050","0.180"
"202410","경기도 성남시 수정구","41131","0.130","0.390","0.240","0.110","0.050","0.030","0.060"
"202410","경기도 성남시 중원구","41133","0.110","0.380","0.270","0.120","0.060","0.030","0.040"
"202410","경기도 수원시 권선구","41113","0.100","0.350","0.280","0.130","0.060","0.030","0.060"
"202410","경기도 수원시 영통구","41117","0.090","0.270","0.240","0.130","0.070","0.050","0.150"
"202410","경기도 수원시 장안구","41111","0.120","0.350","0.250","0.120","0.060","0.030","0.070"
"202410","경기도 수원시 팔달구","41115","0.120","0.380","0.250","0.110","0.050","0.030","0.050"
"202410","경기도 시흥시","41390","0.100","0.360","0.280","0.130","0.060","0.030","0.040"
"202410","경기도 안산시 단원구","41273","0.120","0.410","0.250","0.120","0.050","0.020","0.030"
"202410","경기도 안산시 상록구","41271","0.130","0.380","0.270","0.120","0.050","0.020","0.030"
"202410","경기도 안성시","41550","0.120","0.390","0.260","0.120","0.060","0.030","0.040"
"202410","경기도 안양시 동안구","41173","0.090","0.290","0.250","0.140","0.080","0.050","0.110"
"202410","경기도 안양시 만안구","41171","0.120","0.370","0.260","0.120","0.060","0.030","0.050"
"202410","경기도 양주시","41630","0.120","0.390","0.270","0.110","0.050","0.020","0.030"
"202410","경기도 양평군","41830","0.110","0.380","0.260","0.110","0.050","0.030","0.050"
"202410","경기도 여주시","41670","0.110","0.410","0.270","0.110","0.050","0.020","0.030"
"202410","경기도 연천군","41800","0.130","0.410","0.250","0.100","0.050","0.020","0.030"
"202410","경기도 오산시","41370","0.100","0.330","0.280","0.130","0.070","0.040","0.050"
"202410","경기도 용인시 기흥구","41463","0.100","0.300","0.250","0.130","0.070","0.040","0.110"
"202410","경기도 용인시 수지구","41465","0.080","0.260","0.230","0.130","0.070","0.050","0.170"
"202410","경기도 용인시 처인구","41461","0.110","0.360","0.270","0.120","0.060","0.030","0.050"
"202410","경기도 의왕시","41430","0.090","0.310","0.260","0.130","0.070","0.040","0.090"
"202410","경기도 의정부시","41150","0.120","0.380","0.270","0.120","0.060","0.030","0.040"
"202410","경기도 이천시","41500","0.100","0.360","0.260","0.120","0.060","0.030","0.070"
"202410","경기도 파주시","41480","0.110","0.340","0.270","0.120","0.060","0.040","0.060"
"202410","경기도 평택시","41220","0.090","0.340","0.270","0.130","0.070","0.040","0.060"
"202410","경기도 포천시","41650","0.120","0.460","0.250","0.100","0.040","0.020","0.020"
"202410","경기도 하남시","41450","0.080","0.310","0.270","0.130","0.070","0.040","0.100"
"202410","경기도 화성시","41590","0.080","0.300","0.260","0.130","0.070","0.050","0.110"
"202410","경상남도 거제시","48310","0.080","0.320","0.280","0.140","0.070","0.040","0.070"
